Date,Close
1/2/2020 16:00:00,1948.09
1/3/2020 16:00:00,1943.87
1/6/2020 16:00:00,1945.21
1/7/2020 16:00:00,1940.56
1/8/2020 16:00:00,1955.42
1/9/2020 16:00:00,1974.65
1/10/2020 16:00:00,1966.24
1/13/2020 16:00:00,1986.8
1/14/2020 16:00:00,1979.91
1/15/2020 16:00:00,1996.25
1/16/2020 16:00:00,2016.74
1/17/2020 16:00:00,2020.46
1/21/2020 16:00:00,2019.47
1/22/2020 16:00:00,2032.12
1/23/2020 16:00:00,2032.54
1/24/2020 16:00:00,2021.93
1/27/2020 16:00:00,2003.71
1/28/2020 16:00:00,2027.95
1/29/2020 16:00:00,2033.6
1/30/2020 16:00:00,2056.69
1/31/2020 16:00:00,2018.01
2/3/2020 16:00:00,2037.56
2/4/2020 16:00:00,2069.07
2/5/2020 16:00:00,2070.03
2/6/2020 16:00:00,2072.06
2/7/2020 16:00:00,2054.58
2/10/2020 16:00:00,2069.2
2/11/2020 16:00:00,2067.62
2/12/2020 16:00:00,2082.28
2/13/2020 16:00:00,2096.52
2/14/2020 16:00:00,2115.53
2/18/2020 16:00:00,2109.48
2/19/2020 16:00:00,2123.19
2/20/2020 16:00:00,2120.34
2/21/2020 16:00:00,2082.88
2/24/2020 16:00:00,2036.44
2/25/2020 16:00:00,1969.89
2/26/2020 16:00:00,1958.72
2/27/2020 16:00:00,1886.35
2/28/2020 16:00:00,1876.06
3/2/2020 16:00:00,1945.8
3/3/2020 16:00:00,1892.83
3/4/2020 16:00:00,1966.14
3/5/2020 16:00:00,1907.14
3/6/2020 16:00:00,1858.44
3/9/2020 16:00:00,1716.05
3/10/2020 16:00:00,1791.6
3/11/2020 16:00:00,1691.71
3/12/2020 16:00:00,1535.71
3/13/2020 16:00:00,1659.41
3/16/2020 16:00:00,1448.87
3/17/2020 16:00:00,1511.17
3/18/2020 16:00:00,1363.02
3/19/2020 16:00:00,1410.06
3/20/2020 16:00:00,1342.27
3/23/2020 16:00:00,1285.46
3/24/2020 16:00:00,1437.28
3/25/2020 16:00:00,1479.54
3/26/2020 16:00:00,1576.74
3/27/2020 16:00:00,1523.54
3/30/2020 16:00:00,1561.7
3/31/2020 16:00:00,1516.19
4/1/2020 16:00:00,1433.04
4/2/2020 16:00:00,1450.33
4/3/2020 16:00:00,1427.39
4/6/2020 16:00:00,1550.29
4/7/2020 16:00:00,1551
4/8/2020 16:00:00,1612.12
4/9/2020 16:00:00,1662.62
4/13/2020 16:00:00,1611.02
4/14/2020 16:00:00,1649.11
4/15/2020 16:00:00,1599.49
4/16/2020 16:00:00,1597.61
4/17/2020 16:00:00,1666.74
4/20/2020 16:00:00,1634.27
4/21/2020 16:00:00,1580.16
4/22/2020 16:00:00,1620.22
4/23/2020 16:00:00,1621.19
4/24/2020 16:00:00,1639.97
4/27/2020 16:00:00,1701.89
4/28/2020 16:00:00,1704.98
4/29/2020 16:00:00,1778.73
4/30/2020 16:00:00,1740.14
5/1/2020 16:00:00,1693.33
5/4/2020 16:00:00,1697.46
5/5/2020 16:00:00,1726.25
5/6/2020 16:00:00,1708.03
5/7/2020 16:00:00,1754.46
5/8/2020 16:00:00,1776.22
5/11/2020 16:00:00,1761.1
5/12/2020 16:00:00,1716.2
5/13/2020 16:00:00,1674.39
5/14/2020 16:00:00,1701.67
5/15/2020 16:00:00,1710.29
5/18/2020 16:00:00,1790.38
5/19/2020 16:00:00,1768.64
5/20/2020 16:00:00,1809.37
5/21/2020 16:00:00,1785.33
5/22/2020 16:00:00,1792.2
5/26/2020 16:00:00,1830.17
5/27/2020 16:00:00,1856.33
5/28/2020 16:00:00,1843.04
5/29/2020 16:00:00,1857.96
6/1/2020 16:00:00,1881.42
6/2/2020 16:00:00,1906.23
6/3/2020 16:00:00,1945.87
6/4/2020 16:00:00,1930.67
6/5/2020 16:00:00,1992.27
6/8/2020 16:00:00,2015.22
6/9/2020 16:00:00,1984.92
