time,low,high,open,close,volume
2020-08-05,383.86,408.0,389.76,401.21,208377.2177264
2020-08-06,391.0,404.03,401.21,395.28,147321.25541594
2020-08-07,362.88,398.57,395.28,379.75,258109.56327072
2020-08-08,376.18,400.06,379.76,397.51,109615.57796907
2020-08-09,384.02,401.0,397.5,390.41,144028.58904543
2020-08-10,385.44,400.21,390.41,395.78,198449.18038811
2020-08-11,364.77,398.3,395.77,378.88,231283.21718575
2020-08-12,365.19,389.57,378.92,387.27,193171.5051413
2020-08-13,376.46,432.94,387.27,424.94,363868.52826094
2020-08-14,417.52,445.45,425.0,438.83,320572.96388462
2020-08-15,428.0,443.33,438.83,432.55,170960.90077551
2020-08-16,412.51,437.0,432.67,433.7,198013.6894012
2020-08-17,420.5,447.5,433.71,431.5,221839.14358535
2020-08-18,414.44,434.27,431.5,422.31,148682.30738539
2020-08-19,393.75,426.97,422.31,407.59,212936.96902525
2020-08-20,402.3,419.58,407.6,415.92,146536.51021535
2020-08-21,385.0,418.92,415.92,388.05,218376.51497554
2020-08-22,379.53,399.73,388.0,395.62,145453.08931908
2020-08-23,383.67,400.0,395.52,390.9,79939.92783349
2020-08-24,387.72,411.97,390.78,407.76,153521.94600679
2020-08-25,369.36,409.31,407.76,383.33,189576.54223265
2020-08-26,377.56,393.5,383.26,386.1,131417.52221164
2020-08-27,371.5,397.15,386.12,383.25,121889.95194935
2020-08-28,379.67,398.16,383.27,395.47,123755.41938251
2020-08-29,392.34,405.82,395.35,398.58,89963.76995825
2020-08-30,398.24,429.9,398.57,428.94,170379.4456584
2020-08-31,418.16,439.0,428.92,433.89,168619.80537213
2020-09-01,429.66,488.95,433.88,475.57,333743.62207967
2020-09-02,420.58,481.2,475.57,440.02,320308.05438354
2020-09-03,370.0,451.0,439.99,382.87,407832.29146336
2020-09-04,359.0,400.5,382.15,388.96,286186.00739699
2020-09-05,310.0,394.38,389.2,335.25,607878.87819331
2020-09-06,316.43,360.61,335.25,352.77,266338.83290829
2020-09-07,323.17,358.66,352.85,353.71,215514.08931085
2020-09-08,325.36,357.01,353.71,337.48,209229.73612667
2020-09-09,330.6,359.41,337.48,351.1,166730.61512655
2020-09-10,350.23,377.79,351.11,368.06,217245.43576712
2020-09-11,355.81,375.38,367.94,373.93,132464.58690229
2020-09-12,364.88,388.25,373.93,387.81,109437.79363532
2020-09-13,353.58,390.41,387.82,366.58,164465.94392732
2020-09-14,355.66,384.61,366.58,377.28,190573.77197746
2020-09-15,362.5,382.76,377.27,364.2,170054.9627384
2020-09-16,355.0,373.37,364.05,365.23,130167.7980122
